TimeStamp,Pressure,Temperature,Humidity,LEDStatus,Resistance,HiCurrent,LowCurrent,Vstart,Vend,Vint
19/10/2017 19:26:54,904.45,38.56,20.19,0,2547.776367,0.000785003,0.000392495,1,2,1
19/10/2017 19:26:54,904.45,38.56,20.18,0,2547.790039,0.000784994,0.000392494,1,2,1
19/10/2017 19:26:54,904.52,38.55,20.19,0,2547.819092,0.000784982,0.000392492,1,2,1
19/10/2017 19:26:54,904.45,38.55,20.19,0,2547.804688,0.000784994,0.000392493,1,2,1
19/10/2017 19:26:54,904.48,38.55,20.19,0,2547.797852,0.000784995,0.000392494,1,2,1
19/10/2017 19:26:55,904.44,38.55,20.20,0,2547.808594,0.000784991,0.00039249,1,2,1
19/10/2017 19:26:55,904.46,38.55,20.19,0,2547.801514,0.000784998,0.000392489,1,2,1
19/10/2017 19:26:55,904.43,38.55,20.20,0,2547.801025,0.000784993,0.000392493,1,2,1
19/10/2017 19:26:55,904.44,38.55,20.20,0,2547.822510,0.000784987,0.000392486,1,2,1
19/10/2017 19:26:55,904.48,38.54,20.20,0,2547.798096,0.000785001,0.00039249,1,2,1
19/10/2017 19:27:03,904.48,38.54,20.20,0,2547.774170,0.000785006,0.000392496,1,2,1
19/10/2017 19:27:03,904.41,38.51,20.21,0,2547.813721,0.000784985,0.000392489,1,2,1
19/10/2017 19:27:04,904.40,38.51,20.20,0,2547.806152,0.000784994,0.000392491,1,2,1
19/10/2017 19:27:04,904.39,38.51,20.21,0,2547.819336,0.000784987,0.000392488,1,2,1
19/10/2017 19:27:04,904.39,38.51,20.20,0,2547.838379,0.000784986,0.00039248,1,2,1
19/10/2017 19:27:04,904.40,38.51,20.20,0,2547.832031,0.000784988,0.000392485,1,2,1
19/10/2017 19:27:04,904.38,38.51,20.21,0,2547.839600,0.000784987,0.00039248,1,2,1
19/10/2017 19:27:04,904.40,38.51,20.20,0,2547.834961,0.000784983,0.000392488,1,2,1
19/10/2017 19:27:04,904.35,38.51,20.20,0,2547.836182,0.000784982,0.000392488,1,2,1
19/10/2017 19:27:05,904.36,38.51,20.20,0,2547.832031,0.000784982,0.000392491,1,2,1
19/10/2017 19:27:05,904.40,38.51,20.20,0,2547.834473,0.000784985,0.000392485,1,2,1
